date      ,      rest, totalPrice, countAttendee, pricePerAttendee, note
2016-07-02,      1900, 30600     , 13           , 2500,
2016-08-28,         0,,,,
2016-10-30,        30,,,,
2017-02-19,       600, 32400     , 11           , 3000,
2017-03-20,       460, 46340     , 15           , 3000,
2017-04-23,      1260, 36600     , 13           , 2800,
2017-05-21,      1180, 57320     , 14           , 4500,
2017-06-18,       650, 29350     , 10           , 3800,
2017-07-30,       510, 36690     , 12           , 3100,
2017-08-13,       840, 31160     , 10           , 3100,
2017-09-10,       480, 32120     , 12           , 3600,
2017-10-14,      1000, 24800     ,  9           , 2800,
2017-11-26,       290, 52710     , 18           , 3000,
2017-12-17,       120, 19680     ,  6           , 3000,
2018-01-21,       280, 36020     , 12           , 3300,
2018-02-25,        60,           ,              ,     ,           , 私が休んだので詳細は不明
2018-04-28,     -1766,  1766     ,              ,                 , 技術書典で配った名刺代
2018-04-28,       200, 39200     , 16           , 2800,
2018-05-27,      1250, 16550     ,  6           , 3000,           , 「2800円または3000円」という形で徴収したので、合計が合わない
2018-06-23,       550, 30050     , 13           , 2300,           , 早めに帰った人が一人いて、3000円払っている
2018-08-25,      2000, 31000     , 12           , 3000,           , 学生枠が一人
2018-10-07,       380, 35920     , 12           , 3300,           , 学生枠が一人
2018-11-04,        20, 20980     ,  7           , 3500,           , 学生枠が一人
2018-11-10,       258, 20400     , 12           , 1700,           , Haskell Day 2018 非公式な打ち上げ
2018-12-03,       290, 20110     ,  7           , 3400,           , 学生枠が一人
2019-01-27,      1550, 65050     , 18           , 3700,           , 学生枠が三人
2019-02-17,       500, 26500     ,  9           , 3000,           ,
2019-03-17,       200, 29800     , 10           , 3000,           , 学生枠が一人
